,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code
43,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Maize,Main,2015,05-01,2015,12-01,none,production,148.0,reported
44,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Maize,Main,2014,05-01,2014,12-01,none,production,135.0,reported
45,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2014,05-01,2014,12-01,none,production,89265.0,reported
46,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Maize,Main,2013,05-01,2013,12-01,none,production,124.0,reported
47,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2013,05-01,2013,12-01,none,production,84066.0,reported
48,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2012,05-01,2012,12-01,none,production,79170.0,reported
49,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Maize,Main,2012,05-01,2012,12-01,none,production,114.0,reported
50,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Maize,Main,2011,05-01,2011,12-01,none,production,105.0,reported
51,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2011,05-01,2011,12-01,none,production,74559.0,reported
52,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2010,05-01,2010,12-01,none,production,70217.0,reported
53,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Maize,Main,2010,05-01,2010,12-01,none,production,96.0,reported
54,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Rice,Main,2015,05-01,2015,12-01,none,production,7905.0,reported
55,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Maize,Main,2015,05-01,2015,12-01,none,production,1838.0,reported
56,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Maize,Main,2014,05-01,2014,12-01,none,production,1688.0,reported
57,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Rice,Main,2014,05-01,2014,12-01,none,production,7446.0,reported
58,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Rice,Main,2013,05-01,2013,12-01,none,production,7011.0,reported
59,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Maize,Main,2013,05-01,2013,12-01,none,production,1550.0,reported
60,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Maize,Main,2012,05-01,2012,12-01,none,production,1423.0,reported
61,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Rice,Main,2012,05-01,2012,12-01,none,production,6602.0,reported
62,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Rice,Main,2011,05-01,2011,12-01,none,production,6218.0,reported
63,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Maize,Main,2011,05-01,2011,12-01,none,production,1307.0,reported
64,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Maize,Main,2010,05-01,2010,12-01,none,production,1200.0,reported
65,GN1990A20102,Guinea,GN,Boke,Boke,Boke,Rice,Main,2010,05-01,2010,12-01,none,production,5856.0,reported
66,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Maize,Main,2015,05-01,2015,12-01,none,production,2545.0,reported
67,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Rice,Main,2015,05-01,2015,12-01,none,production,21123.0,reported
68,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Rice,Main,2014,05-01,2014,12-01,none,production,19893.0,reported
69,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Maize,Main,2014,05-01,2014,12-01,none,production,2337.0,reported
70,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Rice,Main,2013,05-01,2013,12-01,none,production,18734.0,reported
71,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Maize,Main,2013,05-01,2013,12-01,none,production,2146.0,reported
72,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Maize,Main,2012,05-01,2012,12-01,none,production,1971.0,reported
73,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Rice,Main,2012,05-01,2012,12-01,none,production,17643.0,reported
74,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Maize,Main,2011,05-01,2011,12-01,none,production,1810.0,reported
75,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Rice,Main,2011,05-01,2011,12-01,none,production,16616.0,reported
76,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Rice,Main,2010,05-01,2010,12-01,none,production,15648.0,reported
77,GN1990A20103,Guinea,GN,Boke,Fria,Fria,Maize,Main,2010,05-01,2010,12-01,none,production,1662.0,reported
78,GN1990A20104,Guinea,GN,Boke,Gaoual,Gaoual,Maize,Main,2015,05-01,2015,12-01,none,production,7251.0,reported
79,GN1990A20104,Guinea,GN,Boke,Gaoual,Gaoual,Rice,Main,2015,05-01,2015,12-01,none,production,55933.0,reported
80,GN1990A20104,Guinea,GN,Boke,Gaoual,Gaoual,Rice,Main,2014,05-01,2014,12-01,none,production,52676.0,reported
81,GN1990A20104,Guinea,GN,Boke,Gaoual,Gaoual,Maize,Main,2014,05-01,2014,12-01,none,production,6658.0,reported
82,GN1990A20104,Guinea,GN,Boke,Gaoual,Gaoual,Rice,Main,2013,05-01,2013,12-01,none,production,49608.0,reported
83,GN1990A20104,Guinea,GN,Boke,Gaoual,Gaoual,Maize,Main,2013,05-01,2013,12-01,none,production,6114.0,reported
