,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code
36,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1980,04-01,1980,11-01,none,yield,1.91304348,reported
37,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1980,04-01,1980,11-01,none,yield,1.05952381,reported
38,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1980,04-01,1980,11-01,none,yield,0.17715315,reported
39,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1980,04-01,1980,11-01,none,yield,2.40384615,reported
40,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1980,04-01,1980,11-01,none,yield,0.79089616,reported
41,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,84000.0,reported
42,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,89000.0,reported
43,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,1.06,reported
44,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,2000.0,reported
45,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,3000.0,reported
46,ZA1994A107,South Africa,ZA,Gauteng,none,Gauteng,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,1.5,reported
47,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,80000.0,reported
48,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,108000.0,reported
49,ZA1994A106,South Africa,ZA,North West,none,North West,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,1.35,reported
50,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,2000.0,reported
51,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,3000.0,reported
52,ZA1994A105,South Africa,ZA,Kwazulu-Natal,none,Kwazulu-Natal,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,1.5,reported
53,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,46000.0,reported
54,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,88000.0,reported
55,ZA1994A108,South Africa,ZA,Mpumalanga,none,Mpumalanga,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,1.91,reported
56,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,703000.0,reported
57,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,556000.0,reported
58,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,0.79,reported
59,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,52000.0,reported
60,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,125000.0,reported
61,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,2.4,reported
62,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,543000.0,reported
63,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,478000.0,reported
64,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,0.88,reported
65,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),area,111000.0,reported
66,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),production,19664.0,reported
67,ZA1994A102,South Africa,ZA,Eastern Cape,none,Eastern Cape,Wheat,Winter,1980,04-01,1980,11-01,Commercial (PS),yield,0.18,reported
68,ZA1994A104,South Africa,ZA,Free State,none,Free State,Wheat,Winter,1981,04-01,1981,11-01,none,yield,1.36453202,reported
69,ZA1994A109,South Africa,ZA,Limpopo,none,Limpopo,Wheat,Winter,1981,04-01,1981,11-01,none,yield,0.86607143,reported
70,ZA1994A103,South Africa,ZA,Northern Cape,none,Northern Cape,Wheat,Winter,1981,04-01,1981,11-01,none,yield,1.59782609,reported
