,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code,fill_status,missing_status
2,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,production,139000.0,calibrated,data,
5,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,production,91000.0,calibrated,data,
8,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,production,85000.0,calibrated,data,
11,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,production,110000.0,calibrated,data,
14,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,production,140000.0,calibrated,data,
17,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,production,110000.0,calibrated,data,
20,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,production,79000.0,calibrated,data,
23,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,production,114000.0,calibrated,data,
26,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2010,03-01,2010,06-01,irrigated,production,89000.0,calibrated,data,
29,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2011,03-01,2011,06-01,irrigated,production,63000.0,calibrated,data,
32,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2012,03-01,2012,06-01,irrigated,production,88000.0,calibrated,data,
35,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2013,03-01,2013,06-01,irrigated,production,69000.0,calibrated,data,
38,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2014,03-01,2014,06-01,irrigated,production,73000.0,calibrated,data,
41,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2015,03-01,2015,06-01,irrigated,production,109910.0,calibrated,data,
44,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2016,03-01,2016,06-01,irrigated,production,131500.0,calibrated,data,
47,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2017,03-01,2017,06-01,irrigated,production,145730.39999999997,calibrated,data,
50,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2018,03-01,2018,06-01,irrigated,production,19467.0,calibrated,data,
53,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2019,03-01,2019,06-01,irrigated,production,86885.0,calibrated,data,
2,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,production_smooth,110039.6254509931,calibrated,data,
5,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,production_smooth,109616.22549953984,calibrated,data,
8,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,production_smooth,108739.09663363999,calibrated,data,
11,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,production_smooth,107326.3950133117,calibrated,data,
14,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,production_smooth,105253.72923674497,calibrated,data,
17,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,production_smooth,102461.49402032876,calibrated,data,
20,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,production_smooth,99076.49195785326,calibrated,data,
23,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,production_smooth,95484.21981318771,calibrated,data,
26,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2010,03-01,2010,06-01,irrigated,production_smooth,92281.19456738848,calibrated,data,
29,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2011,03-01,2011,06-01,irrigated,production_smooth,90071.23069290986,calibrated,data,
32,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2012,03-01,2012,06-01,irrigated,production_smooth,89213.19432269457,calibrated,data,
35,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2013,03-01,2013,06-01,irrigated,production_smooth,89615.22565624124,calibrated,data,
38,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2014,03-01,2014,06-01,irrigated,production_smooth,90710.53976437295,calibrated,data,
41,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2015,03-01,2015,06-01,irrigated,production_smooth,91682.46649688049,calibrated,data,
44,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2016,03-01,2016,06-01,irrigated,production_smooth,91866.50117822291,calibrated,data,
47,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2017,03-01,2017,06-01,irrigated,production_smooth,91121.75645431565,calibrated,data,
50,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2018,03-01,2018,06-01,irrigated,production_smooth,89914.05905848183,calibrated,data,
53,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2019,03-01,2019,06-01,irrigated,production_smooth,89018.9541828928,calibrated,data,
0,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,area,87000.0,calibrated,data,
3,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,area,59000.0,calibrated,data,
6,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,area,58000.0,calibrated,data,
9,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,area,44000.0,calibrated,data,
12,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,area,59000.0,calibrated,data,
15,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,area,42000.0,calibrated,data,
18,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,area,39000.0,calibrated,data,
21,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,area,43000.0,calibrated,data,
24,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2010,03-01,2010,06-01,irrigated,area,35000.0,calibrated,data,
27,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2011,03-01,2011,06-01,irrigated,area,33000.0,calibrated,data,
30,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2012,03-01,2012,06-01,irrigated,area,33000.0,calibrated,data,
33,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2013,03-01,2013,06-01,irrigated,area,33000.0,calibrated,data,
36,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2014,03-01,2014,06-01,irrigated,area,73000.0,calibrated,data,
39,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2015,03-01,2015,06-01,irrigated,area,50180.0,calibrated,data,
42,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2016,03-01,2016,06-01,irrigated,area,60000.0,calibrated,data,
45,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2017,03-01,2017,06-01,irrigated,area,60721.0,calibrated,data,
48,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2018,03-01,2018,06-01,irrigated,area,21804.0,calibrated,data,
51,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2019,03-01,2019,06-01,irrigated,area,54980.0,calibrated,data,
0,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,area_smooth,62223.09423430989,calibrated,data,
3,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,area_smooth,60723.86462723731,calibrated,data,
6,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,area_smooth,58023.877780205614,calibrated,data,
9,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,area_smooth,54608.94955916658,calibrated,data,
12,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,area_smooth,50998.43132049681,calibrated,data,
15,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,area_smooth,47642.14314971287,calibrated,data,
18,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,area_smooth,44887.99290881366,calibrated,data,
21,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,area_smooth,42996.0722062971,calibrated,data,
24,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2010,03-01,2010,06-01,irrigated,area_smooth,42140.46114446212,calibrated,data,
27,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2011,03-01,2011,06-01,irrigated,area_smooth,42360.5359138761,calibrated,data,
30,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2012,03-01,2012,06-01,irrigated,area_smooth,43498.49927942947,calibrated,data,
33,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2013,03-01,2013,06-01,irrigated,area_smooth,45187.35574217503,calibrated,data,
36,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2014,03-01,2014,06-01,irrigated,area_smooth,46928.60238772375,calibrated,data,
39,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2015,03-01,2015,06-01,irrigated,area_smooth,48263.98109053415,calibrated,data,
42,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2016,03-01,2016,06-01,irrigated,area_smooth,48944.56671627865,calibrated,data,
45,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2017,03-01,2017,06-01,irrigated,area_smooth,49012.692132198536,calibrated,data,
48,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2018,03-01,2018,06-01,irrigated,area_smooth,48747.11292498328,calibrated,data,
51,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2019,03-01,2019,06-01,irrigated,area_smooth,48496.766882099095,calibrated,data,
1,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,yield,1.5977011494252873,calibrated,data,
4,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,yield,1.5423728813559323,calibrated,data,
7,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,yield,1.4655172413793105,calibrated,data,
10,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,yield,2.5,calibrated,data,
13,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,yield,2.3728813559322037,calibrated,data,
16,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,yield,2.619047619047619,calibrated,data,
19,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,yield,2.025641025641025,calibrated,data,
22,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,yield,2.6511627906976742,calibrated,data,
25,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2010,03-01,2010,06-01,irrigated,yield,2.5428571428571427,calibrated,data,
28,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2011,03-01,2011,06-01,irrigated,yield,1.9090909090909087,calibrated,data,
31,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2012,03-01,2012,06-01,irrigated,yield,2.6666666666666665,calibrated,data,
34,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2013,03-01,2013,06-01,irrigated,yield,2.090909090909091,calibrated,data,
37,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2014,03-01,2014,06-01,irrigated,yield,1.0,calibrated,data,
40,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2015,03-01,2015,06-01,irrigated,yield,2.1903148664806698,calibrated,data,
43,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2016,03-01,2016,06-01,irrigated,yield,2.191666666666667,calibrated,data,
46,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2017,03-01,2017,06-01,irrigated,yield,2.3999999999999995,calibrated,data,
49,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2018,03-01,2018,06-01,irrigated,yield,0.8928178315905339,calibrated,data,
52,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2019,03-01,2019,06-01,irrigated,yield,1.5803019279738086,calibrated,data,
1,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,yield_smooth,1.833609668476408,calibrated,data,
4,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,yield_smooth,1.8773938580158493,calibrated,data,
7,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,yield_smooth,1.9550868209819021,calibrated,data,
10,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,yield_smooth,2.0498324681198876,calibrated,data,
13,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,yield_smooth,2.1423994287234884,calibrated,data,
16,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,yield_smooth,2.2161628476859616,calibrated,data,
19,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,yield_smooth,2.2601655443045416,calibrated,data,
22,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,yield_smooth,2.270138337273958,calibrated,data,
25,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2010,03-01,2010,06-01,irrigated,yield_smooth,2.2479652814003352,calibrated,data,
28,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2011,03-01,2011,06-01,irrigated,yield_smooth,2.199965196381528,calibrated,data,
31,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2012,03-01,2012,06-01,irrigated,yield_smooth,2.1350253181645726,calibrated,data,
34,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2013,03-01,2013,06-01,irrigated,yield_smooth,2.062033201096855,calibrated,data,
37,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2014,03-01,2014,06-01,irrigated,yield_smooth,1.9877218010344615,calibrated,data,
40,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2015,03-01,2015,06-01,irrigated,yield_smooth,1.9156399188013928,calibrated,data,
43,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2016,03-01,2016,06-01,irrigated,yield_smooth,1.847609015117683,calibrated,data,
46,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2017,03-01,2017,06-01,irrigated,yield_smooth,1.786717115001598,calibrated,data,
49,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2018,03-01,2018,06-01,irrigated,yield_smooth,1.7390558692158695,calibrated,data,
52,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2019,03-01,2019,06-01,irrigated,yield_smooth,1.7124274759182478,calibrated,data,
56,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2002,03-01,2002,06-01,irrigated,production,52000.0,calibrated,data,
59,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2003,03-01,2003,06-01,irrigated,production,112000.0,calibrated,data,
62,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2004,03-01,2004,06-01,irrigated,production,75000.0,calibrated,data,
65,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2005,03-01,2005,06-01,irrigated,production,125000.0,calibrated,data,
68,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2006,03-01,2006,06-01,irrigated,production,117000.0,calibrated,data,
71,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2007,03-01,2007,06-01,irrigated,production,131000.0,calibrated,data,
74,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2008,03-01,2008,06-01,irrigated,production,64000.0,calibrated,data,
77,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2009,03-01,2009,06-01,irrigated,production,121000.0,calibrated,data,
80,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2010,03-01,2010,06-01,irrigated,production,109000.0,calibrated,data,
83,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2011,03-01,2011,06-01,irrigated,production,79000.0,calibrated,data,
86,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2012,03-01,2012,06-01,irrigated,production,138000.0,calibrated,data,
89,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2013,03-01,2013,06-01,irrigated,production,97000.0,calibrated,data,
92,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2014,03-01,2014,06-01,irrigated,production,65000.0,calibrated,data,
95,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2015,03-01,2015,06-01,irrigated,production,90860.0,calibrated,data,
98,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2016,03-01,2016,06-01,irrigated,production,55540.0,calibrated,data,
101,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2017,03-01,2017,06-01,irrigated,production,71944.96280569783,calibrated,data,
104,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2018,03-01,2018,06-01,irrigated,production,53728.0,calibrated,data,
107,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2019,03-01,2019,06-01,irrigated,production,117304.0,calibrated,data,
56,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2002,03-01,2002,06-01,irrigated,production_smooth,91479.36889743466,calibrated,data,
59,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2003,03-01,2003,06-01,irrigated,production_smooth,93165.35632787527,calibrated,data,
62,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2004,03-01,2004,06-01,irrigated,production_smooth,95984.2019551341,calibrated,data,
65,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2005,03-01,2005,06-01,irrigated,production_smooth,99084.21986891127,calibrated,data,
68,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2006,03-01,2006,06-01,irrigated,production_smooth,101661.77205266852,calibrated,data,
71,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2007,03-01,2007,06-01,irrigated,production_smooth,103230.1956973676,calibrated,data,
74,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2008,03-01,2008,06-01,irrigated,production_smooth,103656.26382873725,calibrated,data,
77,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2009,03-01,2009,06-01,irrigated,production_smooth,103015.67312296086,calibrated,data,
80,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2010,03-01,2010,06-01,irrigated,production_smooth,101419.73059929168,calibrated,data,
83,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2011,03-01,2011,06-01,irrigated,production_smooth,98928.18994788194,calibrated,data,
86,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2012,03-01,2012,06-01,irrigated,production_smooth,95630.3404992451,calibrated,data,
89,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2013,03-01,2013,06-01,irrigated,production_smooth,91775.41058825343,calibrated,data,
92,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2014,03-01,2014,06-01,irrigated,production_smooth,87841.93190105894,calibrated,data,
95,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2015,03-01,2015,06-01,irrigated,production_smooth,84423.01471759417,calibrated,data,
98,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2016,03-01,2016,06-01,irrigated,production_smooth,81990.5503810828,calibrated,data,
101,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2017,03-01,2017,06-01,irrigated,production_smooth,80679.42334261238,calibrated,data,
104,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2018,03-01,2018,06-01,irrigated,production_smooth,80230.44444556156,calibrated,data,
107,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2019,03-01,2019,06-01,irrigated,production_smooth,80180.87463202635,calibrated,data,
54,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2002,03-01,2002,06-01,irrigated,area,38000.0,calibrated,data,
57,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2003,03-01,2003,06-01,irrigated,area,41000.0,calibrated,data,
60,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2004,03-01,2004,06-01,irrigated,area,35000.0,calibrated,data,
63,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2005,03-01,2005,06-01,irrigated,area,50000.0,calibrated,data,
66,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2006,03-01,2006,06-01,irrigated,area,50000.0,calibrated,data,
69,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2007,03-01,2007,06-01,irrigated,area,50000.0,calibrated,data,
72,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2008,03-01,2008,06-01,irrigated,area,38000.0,calibrated,data,
75,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2009,03-01,2009,06-01,irrigated,area,46000.0,calibrated,data,
78,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2010,03-01,2010,06-01,irrigated,area,46000.0,calibrated,data,
81,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2011,03-01,2011,06-01,irrigated,area,37000.0,calibrated,data,
84,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2012,03-01,2012,06-01,irrigated,area,55000.0,calibrated,data,
87,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2013,03-01,2013,06-01,irrigated,area,48000.0,calibrated,data,
90,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2014,03-01,2014,06-01,irrigated,area,50000.0,calibrated,data,
93,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2015,03-01,2015,06-01,irrigated,area,48480.0,calibrated,data,
96,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2016,03-01,2016,06-01,irrigated,area,35380.0,calibrated,data,
99,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2017,03-01,2017,06-01,irrigated,area,38040.0,calibrated,data,
102,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2018,03-01,2018,06-01,irrigated,area,31028.0,calibrated,data,
105,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2019,03-01,2019,06-01,irrigated,area,68028.0,calibrated,data,
54,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2002,03-01,2002,06-01,irrigated,area_smooth,41581.83269854531,calibrated,data,
57,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2003,03-01,2003,06-01,irrigated,area_smooth,41979.3828706612,calibrated,data,
60,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2004,03-01,2004,06-01,irrigated,area_smooth,42657.68598892995,calibrated,data,
63,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2005,03-01,2005,06-01,irrigated,area_smooth,43434.54625148899,calibrated,data,
66,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2006,03-01,2006,06-01,irrigated,area_smooth,44137.36430333659,calibrated,data,
69,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2007,03-01,2007,06-01,irrigated,area_smooth,44673.15778347466,calibrated,data,
72,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2008,03-01,2008,06-01,irrigated,area_smooth,45045.24007038861,calibrated,data,
75,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2009,03-01,2009,06-01,irrigated,area_smooth,45316.77151253365,calibrated,data,
78,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2010,03-01,2010,06-01,irrigated,area_smooth,45545.99881064265,calibrated,data,
81,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2011,03-01,2011,06-01,irrigated,area_smooth,45732.68007213761,calibrated,data,
84,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2012,03-01,2012,06-01,irrigated,area_smooth,45824.08237715718,calibrated,data,
87,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2013,03-01,2013,06-01,irrigated,area_smooth,45770.68221519106,calibrated,data,
90,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2014,03-01,2014,06-01,irrigated,area_smooth,45593.864661056075,calibrated,data,
93,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2015,03-01,2015,06-01,irrigated,area_smooth,45401.68974760514,calibrated,data,
96,AF2017A128,Afghanistan,AF,Jawzjan,,Jawzjan,Wheat,Spring,2016,03-01,2016,06-01,irrigated,area_smooth,45328.52277141748,calibrated,data,
