,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code
40,MW1998A20102,Malawi,MW,Northern,Karonga,Karonga,Sorghum,Main,2003,11-01,2004,07-01,none,production,79.0,reported
41,MW1998A20102,Malawi,MW,Northern,Karonga,Karonga,Sorghum,Main,2003,11-01,2004,07-01,none,yield,0.70535714,reported
42,MW1998A20102,Malawi,MW,Northern,Karonga,Karonga,Rice,Main,2003,11-01,2004,07-01,none,area,8169.0,reported
43,MW1998A20102,Malawi,MW,Northern,Karonga,Karonga,Rice,Main,2003,11-01,2004,07-01,none,production,11936.0,reported
44,MW1998A20102,Malawi,MW,Northern,Karonga,Karonga,Rice,Main,2003,11-01,2004,07-01,none,yield,1.46113355,reported
45,MW1998A20102,Malawi,MW,Northern,Karonga,Karonga,Maize,Main,2003,11-01,2004,07-01,none,area,17951.0,reported
46,MW1998A20102,Malawi,MW,Northern,Karonga,Karonga,Maize,Main,2003,11-01,2004,07-01,none,production,13553.0,reported
47,MW1998A20102,Malawi,MW,Northern,Karonga,Karonga,Maize,Main,2003,11-01,2004,07-01,none,yield,0.75499972,reported
48,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Rice,Main,2004,11-01,2005,07-01,none,area,1748.0,reported
49,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Rice,Main,2004,11-01,2005,07-01,none,production,3199.0,reported
50,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Rice,Main,2004,11-01,2005,07-01,none,yield,1.83009153,reported
51,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Maize,Main,2004,11-01,2005,07-01,none,area,11407.0,reported
52,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Maize,Main,2004,11-01,2005,07-01,none,production,16413.0,reported
53,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Maize,Main,2004,11-01,2005,07-01,none,yield,1.43885334,reported
54,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Millet,Main,2004,11-01,2005,07-01,none,area,323.0,reported
55,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Millet,Main,2004,11-01,2005,07-01,none,production,300.0,reported
56,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Millet,Main,2004,11-01,2005,07-01,none,yield,0.92879257,reported
57,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Maize,Main,2003,11-01,2004,07-01,none,area,12976.0,reported
58,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Maize,Main,2003,11-01,2004,07-01,none,production,16715.0,reported
59,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Maize,Main,2003,11-01,2004,07-01,none,yield,1.28814735,reported
60,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Millet,Main,2003,11-01,2004,07-01,none,area,323.0,reported
61,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Millet,Main,2003,11-01,2004,07-01,none,production,299.0,reported
62,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Millet,Main,2003,11-01,2004,07-01,none,yield,0.92569659,reported
63,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Rice,Main,2003,11-01,2004,07-01,none,area,1803.0,reported
64,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Rice,Main,2003,11-01,2004,07-01,none,production,3367.0,reported
65,MW1998A20103,Malawi,MW,Northern,Nkhata Bay,Nkhata Bay,Rice,Main,2003,11-01,2004,07-01,none,yield,1.86744315,reported
66,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Rice,Main,2004,11-01,2005,07-01,none,area,36.0,reported
67,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Rice,Main,2004,11-01,2005,07-01,none,production,45.0,reported
68,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Rice,Main,2004,11-01,2005,07-01,none,yield,1.25,reported
69,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Maize,Main,2004,11-01,2005,07-01,none,area,16559.0,reported
70,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Maize,Main,2004,11-01,2005,07-01,none,production,17562.0,reported
71,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Maize,Main,2004,11-01,2005,07-01,none,yield,1.06057129,reported
72,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Rice,Main,2003,11-01,2004,07-01,none,area,36.0,reported
73,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Rice,Main,2003,11-01,2004,07-01,none,production,45.0,reported
74,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Rice,Main,2003,11-01,2004,07-01,none,yield,1.25,reported
75,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Maize,Main,2003,11-01,2004,07-01,none,area,16558.0,reported
76,MW1998A20104,Malawi,MW,Northern,Rumphi,Rumphi,Maize,Main,2003,11-01,2004,07-01,none,production,19193.0,reported
