,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN1FR,ADMIN1SP,ADMIN1PT,ALIASES,ADMIN2,ADMIN2FR,ADMIN2SP,ADMIN2PT
58,KE2013A114,2013,KE,Kenya,Embu,,,,,,,,
59,KE2013A115,2013,KE,Kenya,Kitui,,,,,,,,
60,KE2013A116,2013,KE,Kenya,Machakos,,,,,,,,
61,KE2013A117,2013,KE,Kenya,Makueni,,,,,,,,
62,KE2013A118,2013,KE,Kenya,Nyandarua,,,,,,,,
63,KE2013A119,2013,KE,Kenya,Nyeri,,,,,,,,
64,KE2013A120,2013,KE,Kenya,Kirinyaga,,,,,,,,
65,KE2013A121,2013,KE,Kenya,Murang'a,,,,~Fort Hall~,,,,
66,KE2013A122,2013,KE,Kenya,Kiambu,,,,,,,,
67,KE2013A123,2013,KE,Kenya,Turkana,,,,,,,,
68,KE2013A124,2013,KE,Kenya,West Pokot,,,,~West Suk~,,,,
69,KE2013A125,2013,KE,Kenya,Samburu,,,,,,,,
70,KE2013A126,2013,KE,Kenya,Trans Nzoia,,,,,,,,
71,KE2013A127,2013,KE,Kenya,Uasin Gishu,,,,,,,,
72,KE2013A128,2013,KE,Kenya,Elgeyo-Marakwet,,,,~Elgeyo/Marakwet~Elgeyo~,,,,
73,KE2013A129,2013,KE,Kenya,Nandi,,,,,,,,
74,KE2013A130,2013,KE,Kenya,Baringo,,,,,,,,
75,KE2013A131,2013,KE,Kenya,Laikipia,,,,,,,,
76,KE2013A132,2013,KE,Kenya,Nakuru,,,,,,,,
77,KE2013A133,2013,KE,Kenya,Narok,,,,,,,,
78,KE2013A134,2013,KE,Kenya,Kajiado,,,,,,,,
79,KE2013A135,2013,KE,Kenya,Kericho,,,,,,,,
80,KE2013A136,2013,KE,Kenya,Bomet,,,,,,,,
81,KE2013A137,2013,KE,Kenya,Kakamega,,,,,,,,
82,KE2013A138,2013,KE,Kenya,Vihiga,,,,,,,,
83,KE2013A139,2013,KE,Kenya,Bungoma,,,,,,,,
84,KE2013A140,2013,KE,Kenya,Busia,,,,~Bussia~,,,,
85,KE2013A141,2013,KE,Kenya,Siaya,,,,,,,,
86,KE2013A142,2013,KE,Kenya,Kisumu,,,,,,,,
87,KE2013A143,2013,KE,Kenya,Homa Bay,,,,,,,,
88,KE2013A144,2013,KE,Kenya,Migori,,,,,,,,
89,KE2013A145,2013,KE,Kenya,Kisii,,,,~Kisi~,,,,
90,KE2013A146,2013,KE,Kenya,Nyamira,,,,,,,,
91,KE2013A147,2013,KE,Kenya,Nairobi,,,,~Nairobi City~,,,,
92,MW2007A20101,2007,MW,Malawi,Northern,,,,,Chitipa,,,
93,MW2007A20102,2007,MW,Malawi,Northern,,,,~North Nyasa~,Karonga,,,
94,MW2007A20103,2007,MW,Malawi,Northern,,,,~Chinteche~,Nkhata Bay,,,
95,MW2007A20104,2007,MW,Malawi,Northern,,,,~Rumpi~Rumpil~,Rumphi,,,
96,MW2007A20105,2007,MW,Malawi,Northern,,,,,Mzimba,,,
97,MW2007A20106,2007,MW,Malawi,Northern,,,,,Likoma,,,
98,MW2007A20201,2007,MW,Malawi,Central,,,,,Kasungu,,,
99,MW2007A20202,2007,MW,Malawi,Central,,,,~Mkhotakota~Kota Kota~Nkhota Kota~,Nkhotakota,,,
100,MW2007A20203,2007,MW,Malawi,Central,,,,~Nchisi~,Ntchisi,,,
101,MW2007A20204,2007,MW,Malawi,Central,,,,,Dowa,,,
102,MW2007A20205,2007,MW,Malawi,Central,,,,,Salima,,,
103,MW2007A20206,2007,MW,Malawi,Central,,,,,Lilongwe,,,
104,MW2007A20207,2007,MW,Malawi,Central,,,,~Fort Manning~,Mchinji,,,
105,MW2007A20208,2007,MW,Malawi,Central,,,,,Dedza,,,
106,MW2007A20209,2007,MW,Malawi,Central,,,,~Ncheu~,Ntcheu,,,
107,MW2007A20301,2007,MW,Malawi,Southern,,,,~Mangoche~Fort Johnston~South Nyasa~,Mangochi,,,
108,MW2007A20302,2007,MW,Malawi,Southern,,,,~Kasupe~,Machinga,,,
109,MW2007A20303,2007,MW,Malawi,Southern,,,,,Zomba,,,
110,MW2007A20304,2007,MW,Malawi,Southern,,,,,Chiradzulu,,,
111,MW2007A20305,2007,MW,Malawi,Southern,,,,,Blantyre,,,
112,MW2007A20306,2007,MW,Malawi,Southern,,,,,Mwanza,,,
113,MW2007A20307,2007,MW,Malawi,Southern,,,,~Cholo~,Thyolo,,,
114,MW2007A20308,2007,MW,Malawi,Southern,,,,~Mlanje~Mlange~,Mulanje,,,
115,MW2007A20309,2007,MW,Malawi,Southern,,,,,Phalombe,,,
116,MW2007A20310,2007,MW,Malawi,Southern,,,,,Chikwawa,,,
117,MW2007A20311,2007,MW,Malawi,Southern,,,,~Port Herald~,Nsanje,,,
118,MW2007A20312,2007,MW,Malawi,Southern,,,,,Balaka,,,
119,MW2007A20313,2007,MW,Malawi,Southern,,,,,Neno,,,
120,SO1990A21101,1990,SO,Somalia,Awdal,,,,~Boramo~,Borama,,,
121,SO1990A21102,1990,SO,Somalia,Awdal,,,,,Baki,,,
122,SO1990A21103,1990,SO,Somalia,Awdal,,,,~Lughaye~,Lughaya,,,
123,SO1990A21104,1990,SO,Somalia,Awdal,,,,~Zeyla~Zaylac~Zeyla'~,Zeylac,,,
124,SO1990A21201,1990,SO,Somalia,Woqooyi Galbeed,,,,~Hargeisa~,Hargeysa,,,
125,SO1990A21202,1990,SO,Somalia,Woqooyi Galbeed,,,,,Berbera,,,
126,SO1990A21203,1990,SO,Somalia,Woqooyi Galbeed,,,,~Gebiley~,Gabiley,,,
127,SO1990A21301,1990,SO,Somalia,Togdheer,,,,~Burao~,Burco,,,
128,SO1990A21302,1990,SO,Somalia,Togdheer,,,,~Buhodle~Buuhodle~Buhoodle~,Buuhoodle,,,
129,SO1990A21303,1990,SO,Somalia,Togdheer,,,,~Oodweine~Odweyne~Odwenyen~Owdweyne~Odweine~,Oodweyne,,,
130,SO1990A21304,1990,SO,Somalia,Togdheer,,,,~Sheikh~Sheik~,Sheekh,,,
131,SO1990A21401,1990,SO,Somalia,Sool,,,,~Las Anod~Laascaanood~Lasanod~Lascaanood~,Laas Caanood,,,
132,SO1990A21402,1990,SO,Somalia,Sool,,,,~Aynabo~Caynabo~,Caynaba,,,
133,SO1990A21403,1990,SO,Somalia,Sool,,,,~Taleh~Teleex~Telex~Taleex~,Talex,,,
134,SO1990A21404,1990,SO,Somalia,Sool,,,,~Hudun~,Xudun,,,
135,SO1990A21501,1990,SO,Somalia,Sanaag,,,,~Erigavo~Ceerigabo~Erigabo~,Ceerigaabo,,,
136,SO1990A21502,1990,SO,Somalia,Sanaag,,,,~El Afwein~Ceelafyeyn~,Ceel Afweyn,,,
137,SO1990A21503,1990,SO,Somalia,Sanaag,,,,~Laasqoray~Las Korey~,Badhan,,,
138,SO1990A21601,1990,SO,Somalia,Bari,,,,~Bosaso~Bosasso~Bossaso~,Bosaaso,,,
139,SO1990A21602,1990,SO,Somalia,Bari,,,,~Bender Beila~Bender Bayla~Bender-Beyla~Bandarbeyla~,Bandar Beyla,,,
140,SO1990A21603,1990,SO,Somalia,Bari,,,,~Alula~,Caluula,,,
141,SO1990A21604,1990,SO,Somalia,Bari,,,,,Iskushuban,,,
142,SO1990A21605,1990,SO,Somalia,Bari,,,,~Kandala~,Qandala,,,
143,SO1990A21606,1990,SO,Somalia,Bari,,,,~Qardo~Gardo~,Qardho,,,
144,SO1990A21701,1990,SO,Somalia,Nugaal,,,,~Garowe~,Garoowe,,,
145,SO1990A21702,1990,SO,Somalia,Nugaal,,,,~Burtinle~,Butinle,,,
146,SO1990A21703,1990,SO,Somalia,Nugaal,,,,,Eyl,,,
147,SO1990A21801,1990,SO,Somalia,Mudug,,,,~Galkayo~Galkacyo~,Gaalkacyo,,,
148,SO1990A21802,1990,SO,Somalia,Mudug,,,,,Goldogob,,,
149,SO1990A21803,1990,SO,Somalia,Mudug,,,,~Hobio~,Hobyo,,,
150,SO1990A21804,1990,SO,Somalia,Mudug,,,,~Jariban~Jeriban~,Jariiban,,,
151,SO1990A21805,1990,SO,Somalia,Mudug,,,,~Haradhere~Xarardherre~,Xarardheere,,,
152,SO1990A21901,1990,SO,Somalia,Galgaduud,,,,~Dhusamareb~Dhuusamareeb~Dhusamared~Dusa Mareb~Dhusa-Mareb~,Dhuusamarreeb,,,
153,SO1990A21902,1990,SO,Somalia,Galgaduud,,,,~Abudwaq~,Cabudwaaq,,,
154,SO1990A21903,1990,SO,Somalia,Galgaduud,,,,~Adado~,Cadaado,,,
155,SO1990A21904,1990,SO,Somalia,Galgaduud,,,,~El Bur~Ceelbur~Elbhurre~El Buur~,Ceel Buur,,,
156,SO1990A21905,1990,SO,Somalia,Galgaduud,,,,~El Der~Ceeldeer~Eldherre~El Dher~,Ceel Dheer,,,
157,SO1990A22001,1990,SO,Somalia,Hiiraan,,,,~Belet Weyne~Beletweyne~Beledweyne~,Beledweyn,,,
158,SO1990A22002,1990,SO,Somalia,Hiiraan,,,,~Bulo Burti~Buloburte~Buloburde ~Bulo Burto~,Bulo-Burte,,,
159,SO1990A22003,1990,SO,Somalia,Hiiraan,,,,,Jalalaqsi,,,
160,SO1990A22101,1990,SO,Somalia,Middle Shabelle,,,,,Jowhar,,,
161,SO1990A22102,1990,SO,Somalia,Middle Shabelle,,,,~Aden Yabal~Adan Yabaal~Adenyabal~,Aadan Yabaal,,,
162,SO1990A22103,1990,SO,Somalia,Middle Shabelle,,,,~Balad~Ballcad~Bal'ad~,Balcad,,,
163,SO1990A22104,1990,SO,Somalia,Middle Shabelle,,,,~Adale~Caadale~,Cadale,,,
164,SO1990A22201,1990,SO,Somalia,Banaadir,,,,~Muqdisho~,Mogadishu,,,
165,SO1990A22301,1990,SO,Somalia,Lower Shabelle,,,,~Merca~Merka~,Marka,,,
166,SO1990A22302,1990,SO,Somalia,Lower Shabelle,,,,~Afgoye~Afgoi~,Afgooye,,,
167,SO1990A22303,1990,SO,Somalia,Lower Shabelle,,,,~Barawa~Braawe~Brava~,Baraawe,,,
