country,admin,season,Banana,Beans (mixed),Cassava,Chili Pepper,Coffee,Groundnuts (In Shell),Lemon,Maize,Mango,Onions,Pineapple,Potato,Sorghum,Soybean,Sweet Potatoes,Tomato,Cabbage,Garlic,Millet,Rice,Carrots,Avocado,Wheat,Cowpea,Okras,Green Bean,Bambara groundnut,Cotton,Sesame Seed,Sorghum (Red),Fonio,Yams,Bush Bean,Pea,Pigeon Pea,Pole Bean,Taro,Sunflower Seed,Cucumber,Eggplant,Goussi,Lettuce,Molokhia,Watermelon,Sugarcane,Geocarpa groundnut,Squash and Melon Seeds,Pam Nut,Melon,Barley,Beans (White),Chick Peas,Fava Bean,Field Peas,Green Peppers,Guava,Hops,Linseed,Neug,Orange,Papaya,Teff,Ethiopian Cabbage,Fenugreek,Lentils,Beet,Oats,Rape,Mung bean,Tea,Broad Beans,Green Pea,Squash,Tobacco,Ginger,Pepper,Jute,Bean (Hyacinth),Paprika,Velvet Bean,Beans (Rosecoco),Capsicum Chinense,Sorrel,Celery,Cereal Crops,Cotton (Acala),Cotton (American),Cashew (unshelled),Maize (Yellow),Cottonseed
"Tanzania, United Republic of",2012A1,Long,-,1 (22/0),1 (25/0),-,-,2 (30/0),-,2 (30/0),-,-,-,1 (24/0),2 (28/0),1 (18/0),1 (30/0),-,-,-,2 (27/0),2 (30/0),-,-,1 (16/0),1 (29/0),-,-,2 (22/0),-,1 (21/0),-,-,1 (17/0),-,-,1 (13/0),-,1 (12/0),1 (19/0),-,-,-,-,-,-,-,-,-,-,-,1 (3/0),-,1 (12/0),-,1 (9/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (18/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tanzania, United Republic of",2012A1,Annual,15 (30/0),12 (23/0),18 (30/0),-,-,12 (24/0),-,21 (25/0),-,-,-,10 (25/0),18 (25/0),3 (13/0),13 (25/0),-,-,-,12 (20/0),19 (25/0),-,-,11 (16/0),4 (20/0),-,-,3 (10/0),-,9 (19/0),-,-,1 (1/0),-,2 (23/0),1 (22/0),-,1 (2/0),8 (24/0),-,-,-,-,-,-,0 (13/0),-,-,-,-,9 (3/0),-,2 (8/0),-,6 (23/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 (5/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tanzania, United Republic of",2012A1,Short,-,1 (19/0),1 (13/0),-,-,1 (26/0),-,2 (30/0),-,-,-,1 (12/0),1 (21/0),1 (4/0),1 (23/0),-,-,-,1 (21/0),2 (25/0),-,-,1 (7/0),1 (19/0),-,-,1 (17/0),-,1 (12/0),-,-,1 (4/0),-,-,1 (8/0),-,1 (8/0),1 (18/0),-,-,-,-,-,-,-,-,-,-,-,1 (3/0),-,1 (6/0),-,1 (5/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (16/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tanzania, United Republic of",2012A1,Long/Dry,-,-,1 (1/0),-,-,-,-,1 (1/0),-,-,-,-,-,1 (1/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (2/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (1/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (2/0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,2007A2,First,0 (67/80),0 (79/80),0 (78/80),-,-,0 (77/80),-,1 (79/80),-,-,-,0 (38/80),0 (74/80),0 (55/80),0 (79/80),-,-,-,0 (70/80),0 (43/80),-,-,-,0 (32/80),-,-,-,-,0 (45/80),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 (51/80),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,2007A2,Second,0 (73/80),1 (79/80),1 (78/80),-,-,1 (75/80),-,1 (80/80),-,-,-,0 (39/80),0 (73/80),0 (50/80),0 (79/80),-,-,-,0 (72/80),0 (51/80),-,-,-,0 (45/80),-,-,-,-,0 (40/80),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 (55/80),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,2007A2,Annual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (27/80),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Africa,1994A1,Winter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44 (9/9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11 (7/9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Africa,1994A1,Summer,-,29 (9/9),-,-,-,36 (7/9),-,35 (9/9),-,-,-,-,25 (9/9),31 (9/9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26 (9/9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35 (9/9),-
Zambia,2011A2,Annual,-,20 (74/74),0 (48/74),-,1 (5/74),-,-,33 (74/74),-,-,1 (14/74),6 (60/74),18 (74/74),17 (73/74),16 (74/74),-,-,-,16 (73/74),14 (70/74),-,-,6 (35/74),9 (73/74),-,-,8 (72/74),-,-,-,-,-,-,-,-,-,-,15 (73/74),-,-,-,-,-,-,1 (16/74),-,-,-,-,2 (13/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (27/74),-,-,-,-,-,-,-,-,-,11 (57/74)
Zimbabwe,2018A1,Main,-,-,0 (5/10),-,-,31 (8/10),-,52 (8/10),-,-,-,-,34 (8/10),21 (8/10),8 (8/10),-,-,-,41 (8/10),3 (8/10),-,-,-,6 (8/10),-,-,1 (8/10),-,4 (8/10),-,-,-,-,-,-,-,-,24 (8/10),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7 (8/10),-,-,-,-,-,-,-,-,-,-,-,-,11 (8/10),-,-,-,-,-,-,-,-,-
