country,admin,season,Banana,Beans (mixed),Cassava,Chili Pepper,Coffee,Groundnuts (In Shell),Lemon,Maize,Mango,Onions,Pineapple,Potato,Sorghum,Soybean,Sweet Potatoes,Tomato,Cabbage,Garlic,Millet,Rice,Carrots,Avocado,Wheat,Cowpea,Okras,Green Bean,Bambara groundnut,Cotton,Sesame Seed,Sorghum (Red),Fonio,Yams,Bush Bean,Pea,Pigeon Pea,Pole Bean,Taro,Sunflower Seed,Cucumber,Eggplant,Goussi,Lettuce,Molokhia,Watermelon,Sugarcane,Geocarpa groundnut,Squash and Melon Seeds,Pam Nut,Melon,Barley,Beans (White),Chick Peas,Fava Bean,Field Peas,Green Peppers,Guava,Hops,Linseed,Neug,Orange,Papaya,Teff,Ethiopian Cabbage,Fenugreek,Lentils,Beet,Oats,Rape,Mung bean,Tea,Broad Beans,Green Pea,Squash,Tobacco,Ginger,Pepper,Jute,Bean (Hyacinth),Paprika,Velvet Bean,Beans (Rosecoco),Capsicum Chinense,Sorrel,Celery,Cereal Crops,Cotton (Acala),Cotton (American),Cashew (unshelled),Maize (Yellow),Cottonseed
Mauritania,1990A1,Bas-fond,-,-,-,-,-,-,-,9 (8/13),-,-,-,-,12 (9/13),-,-,-,-,-,-,1 (1/13),-,-,3 (4/13),1 (9/13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,1990A1,Dam retention,-,-,-,-,-,-,-,5 (6/13),-,-,-,-,4 (10/13),-,-,-,-,-,-,0 (1/13),-,-,2 (5/13),1 (7/13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,1990A1,Main,-,-,-,-,-,-,-,7 (6/13),-,-,-,-,14 (9/13),-,-,-,-,-,12 (6/13),-,-,-,-,1 (7/13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,1990A1,Walo,-,-,-,-,-,-,-,9 (4/13),-,-,-,-,13 (3/13),-,-,-,-,-,-,-,-,-,-,1 (2/13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,1990A1,Decrue controlee,-,-,-,-,-,-,-,5 (4/13),-,-,-,-,7 (4/13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,1990A1,Hot off-season,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7 (3/13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,1990A1,Cold off-season,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 (3/13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malawi,2018A2,Main,3 (24/32),12 (28/32),31 (28/32),9 (22/32),8 (7/32),30 (28/32),-,34 (28/32),-,2 (4/32),-,14 (20/32),25 (26/32),14 (28/32),17 (28/32),2 (4/32),2 (4/32),1 (1/32),23 (26/32),22 (28/32),-,-,-,15 (28/32),-,-,15 (28/32),27 (26/32),11 (15/32),-,-,-,-,-,14 (26/32),-,-,11 (19/32),-,-,-,-,-,-,-,-,-,-,-,-,-,8 (4/32),-,10 (11/32),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14 (27/32),-,-,-,13 (16/32),9 (20/32),12 (12/32),-,-,-,-,-,-,-,-,-,-
Malawi,2018A2,Annual,-,3 (28/32),3 (28/32),-,-,3 (28/32),-,3 (28/32),-,-,-,-,-,3 (26/32),-,-,-,-,-,3 (28/32),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malawi,2018A2,Winter,-,12 (27/32),-,-,-,-,-,-,-,2 (4/32),-,11 (21/32),-,-,13 (28/32),2 (4/32),2 (4/32),1 (1/32),-,-,-,-,-,11 (4/32),-,-,-,-,-,-,-,-,-,-,1 (1/32),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10 (4/32),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 (6/32),-,-,-,-,-,-,-,-,-,-,-
Mozambique,2021A1,Main,-,14 (10/11),-,1 (2/11),-,13 (10/11),-,21 (10/11),-,-,-,-,21 (10/11),1 (5/11),5 (10/11),-,-,-,15 (10/11),-,-,-,1 (2/11),16 (10/11),-,6 (10/11),16 (10/11),-,11 (10/11),-,-,-,-,-,15 (10/11),-,-,8 (10/11),-,-,-,-,-,-,1 (1/11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (7/11),-,-,-,-,11 (10/11),1 (3/11),2 (5/11),-,-,2 (4/11),-,9 (10/11),-,-,-,-,-,-,-,-,-
Mozambique,2021A1,Annual,-,-,22 (10/11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 (2/11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 (1/11),-,-,-,-,-,-,2 (1/11),-,-,-,-,-,-,-,-,-,-,-,-,-
Mozambique,2021A1,Cotton season,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14 (9/11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mozambique,2021A1,Rice season,1 (3/11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15 (10/11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niger,2012A2,Dry,-,-,5 (54/74),4 (54/74),-,2 (11/74),-,6 (61/74),-,7 (61/74),-,6 (62/74),3 (41/74),-,5 (53/74),7 (61/74),7 (61/74),3 (36/74),-,3 (25/74),6 (61/74),-,3 (48/74),5 (54/74),4 (38/74),-,-,-,-,-,-,-,-,2 (2/74),-,-,-,-,1 (15/74),3 (39/74),-,7 (61/74),-,3 (50/74),5 (26/74),-,-,-,3 (50/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 (46/74),-,-,-,-,6 (57/74),2 (18/74),-,-,-,2 (35/74),-,-,-,6 (60/74),1 (6/74),2 (1/74),-,-,-,-,-,-
