,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name
463,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,surface water,2007-02-01,2007-02-28,Bas-fond,Harvest,2007-02-28,Bas-fond 2007,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,283616.0,,Maize (Corn),MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS)",ha,hectare,R01122AA,"Maize grain (corn), other",Western Africa,West Africa,35708259,334930,347563,975,542,crop:harvested,7638,6880,113,7167675,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS): R01122AA / Maize (Corn): Bas-fond: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:06,2024-05-13T14:43:06,2024-05-13T14:44:01,Published,2024-05-13T14:48:29,Ad Hoc,2007-02-28,"SSAIRI/DPCSE/MDRE 2005-15 spreadsheet, Mauritanie"
464,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,dieri,2006-09-01,2006-09-30,Main,Harvest,2006-09-30,Main 2006,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,275624.0,,Sorghum,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35707669,334950,347583,975,542,crop:harvested,7649,6880,108,7167603,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS): R01142AA / Sorghum: Main: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:50,2024-05-13T14:42:50,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,2006-09-30,"SSAIRI/DPCSE/MDRE 2005-15 spreadsheet, Mauritanie"
465,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,surface water,2006-02-01,2006-02-28,Bas-fond,Harvest,2006-02-28,Bas-fond 2006,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,275624.0,,Sorghum,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35707668,334929,347562,975,542,crop:harvested,7638,6880,113,7167602,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS): R01142AA / Sorghum: Bas-fond: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:50,2024-05-13T14:42:50,2024-05-13T14:44:01,Published,2024-05-13T14:48:29,Ad Hoc,2006-02-28,"SSAIRI/DPCSE/MDRE 2005-15 spreadsheet, Mauritanie"
466,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,dieri,2005-09-01,2005-09-30,Main,Harvest,2005-09-30,Main 2005,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,265383.0,,Millet,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS)",ha,hectare,R01182AA,"Millet grain, other",Western Africa,West Africa,35708027,334949,347582,975,542,crop:harvested,7649,6880,108,7167669,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS): R01182AA / Millet: Main: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:00,2024-05-13T14:43:00,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,2005-09-30,"SSAIRI/DPCSE/MDRE 2005-15 spreadsheet, Mauritanie"
467,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,dieri,2005-09-01,2005-09-30,Main,Harvest,2005-09-30,Main 2005,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,265383.0,,Sorghum,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35707667,334949,347582,975,542,crop:harvested,7649,6880,108,7167603,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS): R01142AA / Sorghum: Main: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:50,2024-05-13T14:42:50,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,2005-09-30,"SSAIRI/DPCSE/MDRE 2005-15 spreadsheet, Mauritanie"
468,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,surface water,2005-02-01,2005-02-28,Bas-fond,Harvest,2005-02-28,Bas-fond 2005,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,265383.0,,Wheat Grain,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS)",ha,hectare,R01112AA,"Wheat grain, other",Western Africa,West Africa,35708319,334948,347581,975,542,crop:harvested,7638,6880,113,7167713,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS): R01112AA / Wheat Grain: Bas-fond: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:08,2024-05-13T14:43:08,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,2005-02-28,"SSAIRI/DPCSE/MDRE 2005-15 spreadsheet, Mauritanie"
469,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,surface water,2005-02-01,2005-02-28,Bas-fond,Harvest,2005-02-28,Bas-fond 2005,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,265383.0,,Sorghum,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35707666,334948,347581,975,542,crop:harvested,7638,6880,113,7167602,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS): R01142AA / Sorghum: Bas-fond: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:50,2024-05-13T14:42:50,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,2005-02-28,"SSAIRI/DPCSE/MDRE 2005-15 spreadsheet, Mauritanie"
470,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,surface water,2005-02-01,2005-02-28,Bas-fond,Harvest,2005-02-28,Bas-fond 2005,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,265383.0,,Maize (Corn),MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS)",ha,hectare,R01122AA,"Maize grain (corn), other",Western Africa,West Africa,35708258,334948,347581,975,542,crop:harvested,7638,6880,113,7167675,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Surface water (PS): R01122AA / Maize (Corn): Bas-fond: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:06,2024-05-13T14:43:06,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,2005-02-28,"SSAIRI/DPCSE/MDRE 2005-15 spreadsheet, Mauritanie"
471,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,dieri,2004-09-01,2004-09-30,Main,Harvest,2004-09-30,Main 2004,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,257793.0,,Sorghum,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35707665,334947,347580,975,542,crop:harvested,7649,6880,108,7167603,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS): R01142AA / Sorghum: Main: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:50,2024-05-13T14:42:50,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,2004-09-30,"SSAIRI/DPCSE/MDRE 1999-05 spreadsheet, Mauritania"
472,Mauritania,"Ministry of Rural Development, Mauritania","Official Agricultural Statistics, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,dieri,2004-09-01,2004-09-30,Main,Harvest,2004-09-30,Main 2004,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,257793.0,,Millet,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS)",ha,hectare,R01182AA,"Millet grain, other",Western Africa,West Africa,35708026,334947,347580,975,542,crop:harvested,7649,6880,108,7167669,"Official Agricultural Statistics, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): Dieri (PS): R01182AA / Millet: Main: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:00,2024-05-13T14:43:00,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,2004-09-30,"SSAIRI/DPCSE/MDRE 1999-05 spreadsheet, Mauritania"
