,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name
895,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Mbomou, Central African Republic",Mbomou,CF2003A162,Central African Republic,Mbomou,,,,,,2015-01-01,2015-01-31,Main harvest,Harvest,2014-08-01,Main harvest 2014,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,0.89202853,232963,3.829056674235823e-06,Maize (Corn),CF,"Mbomou, Central African Republic (From 01/01/2003)",MT/ha,tonnes per hectare,R01122AA,"Maize grain (corn), other",Middle Africa,West Africa,4374284,63968,72150,2533,841,crop:yield,24606,4516,81,1653482,"CFSAM: Mbomou, Central African Republic (From 01/01/2003): R01122AA - Maize (Corn), unspecified: Main harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:23,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:45,Ad Hoc,2015-01-31,CFSAM
896,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Mbomou, Central African Republic",Mbomou,CF2003A162,Central African Republic,Mbomou,,,,,,2015-01-01,2015-01-31,Main harvest,Harvest,2014-08-01,Main harvest 2014,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,0.33326291,232963,1.4305400857646924e-06,Sesame Seed,CF,"Mbomou, Central African Republic (From 01/01/2003)",MT/ha,tonnes per hectare,R01444AA,Oilseed,Middle Africa,West Africa,4374296,63968,72150,2533,841,crop:yield,24606,4516,81,1653494,"CFSAM: Mbomou, Central African Republic (From 01/01/2003): R01444AA - Sesame Seed: Main harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:24,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:45,Ad Hoc,2015-01-31,CFSAM
897,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Mbomou, Central African Republic",Mbomou,CF2003A162,Central African Republic,Mbomou,,,,,,2015-01-01,2015-01-31,Main harvest,Harvest,2014-08-01,Main harvest 2014,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,2.81519022,232963,1.2084280422212969e-05,Cassava,CF,"Mbomou, Central African Republic (From 01/01/2003)",MT/ha,tonnes per hectare,R01592AA,Root,Middle Africa,West Africa,4374300,63968,72150,2533,841,crop:yield,24606,4516,81,1653498,"CFSAM: Mbomou, Central African Republic (From 01/01/2003): R01592AA - Cassava: Main harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:24,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:45,Ad Hoc,2015-01-31,CFSAM
898,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Mbomou, Central African Republic",Mbomou,CF2003A162,Central African Republic,Mbomou,,,,,,2015-01-01,2015-01-31,Main harvest,Harvest,2014-08-01,Main harvest 2014,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,1.74340503,232963,7.4836134064207614e-06,Rice (Paddy),CF,"Mbomou, Central African Republic (From 01/01/2003)",MT/ha,tonnes per hectare,R01132AA,"Rice, not husked, unspecified",Middle Africa,West Africa,4374288,63968,72150,2533,841,crop:yield,24606,4516,81,1653486,"CFSAM: Mbomou, Central African Republic (From 01/01/2003): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:23,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:45,Ad Hoc,2015-01-31,CFSAM
899,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Mbomou, Central African Republic",Mbomou,CF2003A162,Central African Republic,Mbomou,,,,,,2015-01-01,2015-01-31,Main harvest,Harvest,2014-08-01,Main harvest 2014,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,0.92358314,232963,3.96450569403725e-06,Groundnuts (In Shell),CF,"Mbomou, Central African Republic (From 01/01/2003)",MT/ha,tonnes per hectare,R01422AA,"Groundnuts in shell, not specified",Middle Africa,West Africa,4374292,63968,72150,2533,841,crop:yield,24606,4516,81,1653490,"CFSAM: Mbomou, Central African Republic (From 01/01/2003): R01422AA - Groundnuts (In Shell): Main harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:23,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:45,Ad Hoc,2015-01-31,CFSAM
900,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Haut-Mbomou, Central African Republic",Haut-Mbomou,CF2003A163,Central African Republic,Haut-Mbomou,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,519.07838788,67540,0.007685495822919752,Maize (Corn),CF,"Haut-Mbomou, Central African Republic (From 01/01/2003)",ha,hectare,R01122AA,"Maize grain (corn), other",Middle Africa,West Africa,4374821,63970,72152,2533,841,crop:harvested,24601,4517,81,1653379,"CFSAM: Haut-Mbomou, Central African Republic (From 01/01/2003): R01122AA - Maize (Corn), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:36,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
901,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Haut-Mbomou, Central African Republic",Haut-Mbomou,CF2003A163,Central African Republic,Haut-Mbomou,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,878.88990227,67540,0.013012879808557892,Cassava,CF,"Haut-Mbomou, Central African Republic (From 01/01/2003)",ha,hectare,R01592AA,Root,Middle Africa,West Africa,4374837,63970,72152,2533,841,crop:harvested,24601,4517,81,1653395,"CFSAM: Haut-Mbomou, Central African Republic (From 01/01/2003): R01592AA - Cassava: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:37,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
902,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Haut-Mbomou, Central African Republic",Haut-Mbomou,CF2003A163,Central African Republic,Haut-Mbomou,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,332.55036261,67540,0.004923754258365413,Sesame Seed,CF,"Haut-Mbomou, Central African Republic (From 01/01/2003)",ha,hectare,R01444AA,Oilseed,Middle Africa,West Africa,4374833,63970,72152,2533,841,crop:harvested,24601,4517,81,1653391,"CFSAM: Haut-Mbomou, Central African Republic (From 01/01/2003): R01444AA - Sesame Seed: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:37,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
903,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Haut-Mbomou, Central African Republic",Haut-Mbomou,CF2003A163,Central African Republic,Haut-Mbomou,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,864.35620646,67540,0.012797693314480307,Groundnuts (In Shell),CF,"Haut-Mbomou, Central African Republic (From 01/01/2003)",ha,hectare,R01422AA,"Groundnuts in shell, not specified",Middle Africa,West Africa,4374829,63970,72152,2533,841,crop:harvested,24601,4517,81,1653387,"CFSAM: Haut-Mbomou, Central African Republic (From 01/01/2003): R01422AA - Groundnuts (In Shell): Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:36,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
904,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Haut-Mbomou, Central African Republic",Haut-Mbomou,CF2003A163,Central African Republic,Haut-Mbomou,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,197.4233102,67540,0.0029230575984601718,Rice (Paddy),CF,"Haut-Mbomou, Central African Republic (From 01/01/2003)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Middle Africa,West Africa,4374825,63970,72152,2533,841,crop:harvested,24601,4517,81,1653383,"CFSAM: Haut-Mbomou, Central African Republic (From 01/01/2003): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:36,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
