country,season_name,product,crop_production_system,planting_month,harvest_month,planting_year,harvest_year
Somalia,Deyr-off,Maize,none,10,4,-1,-1
Somalia,Deyr-off,Maize,riverine,10,4,-1,-1
Somalia,Deyr-off,Sesame Seed,agro_pastoral,10,4,-1,-1
Somalia,Deyr-off,Sesame Seed,none,10,4,-1,-1
Somalia,Deyr-off,Sesame Seed,riverine,10,4,-1,-1
Somalia,Deyr-off,Sorghum,agro_pastoral,10,4,-1,-1
Somalia,Gu,Cowpeas,agro_pastoral,3,8,0,0
Somalia,Gu,Cowpeas,none,3,8,0,0
Somalia,Gu,Cowpeas,riverine,3,8,0,0
Somalia,Gu,Groundnuts,agro_pastoral,3,8,0,0
Somalia,Gu,Groundnuts,none,3,8,0,0
Somalia,Gu,Maize,agro_pastoral,3,8,0,0
Somalia,Gu,Maize,none,3,8,0,0
Somalia,Gu,Maize,riverine,3,8,0,0
Somalia,Gu,Onions,agro_pastoral,3,8,0,0
Somalia,Gu,Onions,none,3,8,0,0
Somalia,Gu,Onions,riverine,3,8,0,0
Somalia,Gu,Rice,none,3,8,0,0
Somalia,Gu,Rice,riverine,3,8,0,0
Somalia,Gu,Sesame Seed,agro_pastoral,3,8,0,0
Somalia,Gu,Sesame Seed,none,3,8,0,0
Somalia,Gu,Sesame Seed,riverine,3,8,0,0
Somalia,Gu,Sorghum,agro_pastoral,3,8,0,0
Somalia,Gu,Sorghum,none,3,8,0,0
Somalia,Gu,Sorghum,riverine,3,8,0,0
Somalia,Gu,Tomato,agro_pastoral,3,8,0,0
Somalia,Gu,Tomato,none,3,8,0,0
Somalia,Gu,Tomato,riverine,3,8,0,0
Somalia,Gu,Watermelon,agro_pastoral,3,8,0,0
Somalia,Gu,Watermelon,none,3,8,0,0
Somalia,Gu,Watermelon,riverine,3,8,0,0
Somalia,Gu-off,Cowpeas,agro_pastoral,3,9,0,0
Somalia,Gu-off,Cowpeas,none,3,9,0,0
Somalia,Gu-off,Cowpeas,riverine,3,9,0,0
Somalia,Gu-off,Maize,agro_pastoral,3,9,0,0
Somalia,Gu-off,Maize,none,3,9,0,0
Somalia,Gu-off,Maize,riverine,3,9,0,0
Somalia,Gu-off,Sesame Seed,agro_pastoral,3,9,0,0
Somalia,Gu-off,Sesame Seed,none,3,9,0,0
Somalia,Gu-off,Sesame Seed,riverine,3,9,0,0
Somalia,Gu-off,Sorghum,riverine,3,9,0,0
Somalia,Gu,Pepper (Piper spp.),none,3,8,0,0
Somalia,Gu,Pepper (Piper spp.),riverine,3,8,0,0
Somalia,Deyr,Pepper (Piper spp.),none,10,3,-2,-1
Somalia,Deyr,Pepper (Piper spp.),riverine,10,3,-2,-1
Somalia,Deyr,Pepper (Piper spp.),agro_pastoral,10,3,-2,-1
Angola,Main,Avocado,All (PS),10,4,-1,0
Angola,Main,Banana,All (PS),10,4,-1,0
Angola,Main,Beans,All (PS),10,4,-1,0
Angola,Main,Cabbage,All (PS),10,4,-1,0
Angola,Main,Carrots,All (PS),10,4,-1,0
Angola,Main,Cassava,All (PS),10,4,-1,0
Angola,Main,Cowpeas,All (PS),10,4,-1,0
Angola,Main,Garlic,All (PS),10,4,-1,0
Angola,Main,Green bean,All (PS),10,4,-1,0
Angola,Main,Groundnuts,All (PS),10,4,-1,0
Angola,Main,Lemon,All (PS),10,4,-1,0
Angola,Main,Maize,All (PS),10,4,-1,0
Angola,Main,Mango,All (PS),10,4,-1,0
Angola,Main,Millet,All (PS),10,4,-1,0
Angola,Main,Millet (Pearl),All (PS),10,4,-1,0
Angola,Main,Okras,All (PS),10,4,-1,0
Angola,Main,Onions,All (PS),10,4,-1,0
Angola,Main,Pineapple,All (PS),10,4,-1,0
Angola,Main,Potato,All (PS),10,4,-1,0
Angola,Main,Rice,All (PS),10,4,-1,0
Angola,Main,Sorghum,All (PS),10,4,-1,0
Angola,Main,Soybean,All (PS),10,4,-1,0
Angola,Main,Sweet Potatoes,All (PS),10,4,-1,0
Angola,Main,Tomato,All (PS),10,4,-1,0
Angola,Main,Wheat,All (PS),10,4,-1,0
Angola,Main,Chili pepper (Unspecified),All (PS),10,4,-1,0
Angola,Main,Coffee (unspecified),All (PS),10,4,-1,0
"Congo, The Democratic Republic of the",Main,Beans,none,1,12,0,0
"Congo, The Democratic Republic of the",Main,Cassava,none,1,12,0,0
"Congo, The Democratic Republic of the",Main,Banana,none,1,12,0,0
"Congo, The Democratic Republic of the",Main,Maize,none,1,12,0,0
"Congo, The Democratic Republic of the",Main,Rice,none,1,12,0,0
Lesotho,Summer,Barley,Foothills (PS),10,7,-1,-1
Lesotho,Summer,Barley,Mountains (PS),10,7,-1,-1
Lesotho,Summer,Barley,Senqu River Valley (PS),10,7,-1,-1
Lesotho,Summer,Barley,none,10,7,-1,-1
Lesotho,Summer,Beans,All (PS),10,7,-1,-1
Lesotho,Summer,Beans,Foothills (PS),10,7,-1,-1
Lesotho,Summer,Beans,Mountains (PS),10,7,-1,-1
Lesotho,Summer,Beans,Senqu River Valley (PS),10,7,-1,-1
Lesotho,Summer,Beans,none,10,7,-1,-1
Lesotho,Summer,Maize,Foothills (PS),10,7,-1,-1
Lesotho,Summer,Maize,Mountains (PS),10,7,-1,-1
Lesotho,Summer,Maize,Senqu River Valley (PS),10,7,-1,-1
Lesotho,Summer,Maize,All (PS),10,7,-1,-1
Lesotho,Summer,Maize,none,10,7,-1,-1
Lesotho,Summer,Maize (White),All (PS),10,7,-1,-1
Lesotho,Summer,Maize (White),Foothills (PS),10,7,-1,-1
Lesotho,Summer,Maize (White),Mountains (PS),10,7,-1,-1
Lesotho,Summer,Maize (White),Senqu River Valley (PS),10,7,-1,-1
Lesotho,Summer,Maize (White),none,10,7,-1,-1
Lesotho,Summer,Oats,Mountains (PS),10,7,-1,-1
Lesotho,Summer,Oats,none,10,7,-1,-1
Lesotho,Summer,Pea,All (PS),10,7,-1,-1
Lesotho,Summer,Pea,Foothills (PS),10,7,-1,-1
Lesotho,Summer,Pea,Mountains (PS),10,7,-1,-1
Lesotho,Summer,Pea,Senqu River Valley (PS),10,7,-1,-1
Lesotho,Summer,Pea,none,10,7,-1,-1
Lesotho,Summer,Sorghum,All (PS),10,7,-1,-1
Lesotho,Summer,Sorghum,Foothills (PS),10,7,-1,-1
Lesotho,Summer,Sorghum,Mountains (PS),10,7,-1,-1
Lesotho,Summer,Sorghum,Senqu River Valley (PS),10,7,-1,-1
Lesotho,Summer,Sorghum,none,10,7,-1,-1
Lesotho,Summer,Wheat,All (PS),10,7,-1,-1
Lesotho,Summer,Wheat,Foothills (PS),10,7,-1,-1
Lesotho,Summer,Wheat,Mountains (PS),10,7,-1,-1
Lesotho,Summer,Wheat,Senqu River Valley (PS),10,7,-1,-1
Lesotho,Summer,Wheat,none,10,7,-1,-1
Lesotho,Winter,Barley,All (PS),5,11,0,0
Lesotho,Winter,Barley,Foothills (PS),5,11,0,0
Lesotho,Winter,Barley,Mountains (PS),5,11,0,0
Lesotho,Winter,Barley,Senqu River Valley (PS),5,11,0,0
Lesotho,Winter,Barley,none,5,11,0,0
Lesotho,Winter,Beans,none,5,11,0,0
Lesotho,Winter,Maize,Mountains (PS),5,11,0,0
Lesotho,Winter,Maize,none,5,11,0,0
Lesotho,Winter,Oats,All (PS),5,11,0,0
Lesotho,Winter,Oats,Mountains (PS),5,11,0,0
Lesotho,Winter,Oats,none,5,11,0,0
Lesotho,Winter,Pea,All (PS),5,11,0,0
Lesotho,Winter,Pea,Foothills (PS),5,11,0,0
Lesotho,Winter,Pea,Mountains (PS),5,11,0,0
Lesotho,Winter,Pea,Senqu River Valley (PS),5,11,0,0
Lesotho,Winter,Pea,none,5,11,0,0
Lesotho,Winter,Sorghum,none,5,11,0,0
Lesotho,Winter,Wheat,All (PS),5,11,0,0
Lesotho,Winter,Wheat,Foothills (PS),5,11,0,0
Lesotho,Winter,Wheat,Senqu River Valley (PS),5,11,0,0
Lesotho,Winter,Wheat,none,5,11,0,0
Burundi,Season A,Banana,none,9,1,0,0
Burundi,Season A,Beans,none,9,1,0,0
Burundi,Season A,Bush bean,none,9,1,0,0
Burundi,Season A,Cassava,none,9,1,0,0
Burundi,Season A,Cassava (non-bitter),none,9,1,0,0
Burundi,Season A,Cooking Banana,none,9,1,0,0
Burundi,Season A,Cowpeas,none,9,1,0,0
Burundi,Season A,Groundnuts,none,9,1,0,0
Burundi,Season A,Maize,none,9,1,0,0
Burundi,Season A,Millet,none,9,1,0,0
Burundi,Season A,Pea,none,9,1,0,0
Burundi,Season A,Pigeon Peas,none,9,1,0,0
Burundi,Season A,Pole bean,none,9,1,0,0
Burundi,Season A,Potato,none,9,1,0,0
Burundi,Season A,Rice,none,9,1,0,0
Burundi,Season A,Rice (not husked),none,9,1,0,0
Burundi,Season A,Sorghum,none,9,1,0,0
Burundi,Season A,Soybean,none,9,1,0,0
Burundi,Season A,Sunflower Seed,none,9,1,0,0
Burundi,Season A,Sweet Potatoes,none,9,1,0,0
Burundi,Season A,Taro,none,9,1,0,0
Burundi,Season A,Wheat,none,9,1,0,0
Burundi,Season A,Yams,none,9,1,0,0
Burundi,Season B,Banana,none,2,8,0,0
Burundi,Season B,Beans,none,2,8,0,0
Burundi,Season B,Bush bean,none,2,8,0,0
Burundi,Season B,Cassava,none,2,8,0,0
Burundi,Season B,Cassava (non-bitter),none,2,8,0,0
Burundi,Season B,Cooking Banana,none,2,8,0,0
Burundi,Season B,Cowpeas,none,2,8,0,0
Burundi,Season B,Groundnuts,none,2,8,0,0
Burundi,Season B,Maize,none,2,8,0,0
Burundi,Season B,Millet,none,2,8,0,0
Burundi,Season B,Pea,none,2,8,0,0
Burundi,Season B,Pigeon Peas,none,2,8,0,0
Burundi,Season B,Pole bean,none,2,8,0,0
Burundi,Season B,Potato,none,2,8,0,0
Burundi,Season B,Rice,none,2,8,0,0
Burundi,Season B,Rice (not husked),none,2,8,0,0
Burundi,Season B,Sorghum,none,2,8,0,0
Burundi,Season B,Soybean,none,2,8,0,0
Burundi,Season B,Sunflower Seed,none,2,8,0,0
Burundi,Season B,Sweet Potatoes,none,2,8,0,0
Burundi,Season B,Taro,none,2,8,0,0
Burundi,Season B,Wheat,none,2,8,0,0
Burundi,Season B,Yams,none,2,8,0,0
Burundi,Season C,Banana,none,6,11,0,0
